,lookback_window,minimum_occurrence,minimum_length,alpha,size,strategy,win_rate,sharpe,mdd
206,20,50,5,0.2,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
207,20,50,5,0.2,binary,Strategy,0.46551724137931033,-0.5378528738451885,0.9902634935981962
208,20,50,5,0.2,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
209,20,50,5,0.2,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
210,20,50,5,0.2,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
211,20,50,5,0.2,continuous,Strategy,0.46551724137931033,-0.5014475568890533,0.5106364188455801
212,20,50,5,0.2,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
213,20,50,5,0.2,trinary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
214,20,50,5,0.2,trinary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
215,20,50,5,0.2,trinary,Strategy,0.09113300492610837,-0.13403386254250496,0.7511441428654126
216,20,100,1,0.05,binary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
217,20,100,1,0.05,binary,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
218,20,100,1,0.05,binary,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
219,20,100,1,0.05,binary,Strategy,0.47783251231527096,-1.5881085329259335,0.997929775502685
220,20,100,1,0.05,continuous,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
221,20,100,1,0.05,continuous,Momentum,0.4236453201970443,-1.6869624586506915,0.9984606765107172
222,20,100,1,0.05,continuous,Mom. Rev.,0.5763546798029556,1.6869624586506915,0.7818472111793797
223,20,100,1,0.05,continuous,Strategy,0.46798029556650245,-1.4770926167393323,0.31687907340340404
224,20,100,1,0.05,trinary,Buy & Hold,0.5270935960591133,-0.44173780813578023,0.8316633607425912
